def	fit	ion	x0	tag	sumFormula	x_Lo	x_Hi	d2_Ctr	d2_Lo	d2_Hi	d1_Ctr	d1_Lo	d1_Hi	d0_Ctr	d0_Lo	d0_Hi	calFac	calUnit	charge	ionizFrac	fragOf	isotopeOf	comments	standards	families	baseline	intCalIn
1	1	C9F7H5+	246.027399		C9H5F7	246.0137	246.0412		0.00																		
1	1	C15ClFH12+	246.060608		C15H12FCl	246.0468	246.0743		0.00																		
1	1	C18H30+	246.234202		C18H30	246.2204	246.2479		0.00																		
1	1	C9F4H3N2O2+	247.012516		C9H3N2F4O2	246.9987	247.0263		0.00																		
1	1	C15F2H29+	247.223184		C15H29F2	247.2094	247.2370		0.00																		
1	1	C18H31+	247.242027		C18H31	247.2283	247.2559		0.00																		
1	1	C14Cl2H10+	248.015407		C14H10Cl2	248.0016	248.0293		0.00																		
1	1	C17H30N+	248.237276		C17H30N	248.2235	248.2512		0.00																		
1	1	C8F8H+	248.994502		C8HF8	248.9806	249.0083		0.00																		
1	1	C18H33+	249.257677		C18H33	249.2437	249.2716		0.00																		
1	1	C5F10+	249.983483		C5F10	249.9699	249.9971		0.00																		
1	1	C6ClF4H5NO3+	249.988860		C6H5NF4ClO3	249.9753	250.0025		0.00																		
1	1	C10F6H2N+	250.008594		C10H2NF6	249.9944	250.0228		0.00																		
1	1	C14F4H6+	250.040014		C14H6F4	250.0258	250.0542		0.00																		
1	1	C15FH9N3+	250.077502		C15H9N3F	250.0633	250.0917		0.00																		
1	1	C16F2H20+	250.152758		C16H20F2	250.1386	250.1670		0.00																		
1	1	C13F3H23N+	250.177711		C13H23NF3	250.1635	250.1920		0.00																		
1	1	C18H34+	250.265502		C18H34	250.2513	250.2798		0.00																		
1	1	C17H31O+	251.236942		C17H31O	251.2229	251.2509		0.00																		
1	1	C18H35+	251.273327		C18H35	251.2593	251.2873		0.00																		
1	1	C14H27N3O+	253.214864		C14H27N3O	253.2007	253.2290		0.00																		
1	1	C15H31N3+	253.251249		C15H31N3	253.2371	253.2653		0.00																		
1	1	C14H29N3O+	255.230514		C14H29N3O	255.2163	255.2447		0.00																		
1	1	C14H30N3O+	256.238339		C14H30N3O	256.2241	256.2526		0.00																		
1	1	C9F6H7N2+	257.050794		C9H7N2F6	257.0365	257.0651		0.00																		
1	1	C14H31N3O+	257.246164		C14H31N3O	257.2319	257.2605		0.00																		
1	1	C16H25N3+	259.204299		C16H25N3	259.1899	259.2187		0.00																		
1	1	C19H31+	259.242027		C19H31	259.2276	259.2564		0.00																		
1	1	C9F6H11N2+	261.082094		C9H11N2F6	261.0676	261.0966		0.00																		
1	1	C18H31N+	261.245101		C18H31N	261.2306	261.2596		0.00																		
1	1	C8F7H2O2+	262.993753		C8H2F7O2	262.9791	263.0083		0.00																		
1	1	C19H35+	263.273327		C19H35	263.2587	263.2879		0.00																		
1	1	C5F10O+	265.978398		C5F10O	265.9634	265.9934		0.00										1								
1	1	C18H35O+	267.268242		C18H35O	267.2534	267.2830		0.00																		
1	1	C17H33O2+	269.247507		C17H33O2	269.2326	269.2624		0.00																		
1	1	C16H35N3+	269.282549		C16H35N3	269.2676	269.2974		0.00																		
1	1	C16F2H26N+	270.202783		C16H26NF2	270.1878	270.2177		0.00																		
1	1	C16FH31N2+	270.246579		C16H31N2F	270.2317	270.2616		0.00																		
1	1	C16H31O3+	271.226771		C16H31O3	271.2118	271.2418		0.00																		
1	1	C17H35O2+	271.263157		C17H35O2	271.2481	271.2781		0.00																		
1	1	C15H30NO3+	272.222020		C15H30NO3	272.2069	272.2370		0.00																		
1	1	C17FH33O+	272.250995		C17H33FO	272.2360	272.2661		0.00																		
1	1	C16FH30O2+	273.222435		C16H30FO2	273.2073	273.2375		0.00																		
1	1	C20H33+	273.257677		C20H33	273.2426	273.2728		0.00																		
1	1	C20H34+	274.265502		C20H34	274.2503	274.2806		0.00																		
1	1	C19H33N+	275.260751		C19H33N	275.2455	275.2759		0.00																		
1	1	C15F3H9NO+	276.063075		C15H9NF3O	276.0479	276.0783		0.00																		
1	1	C12F4H12N2O+	276.088027		C12H12N2F4O	276.0728	276.1033		0.00																		
1	1	C18F2H22+	276.168408		C18H22F2	276.1532	276.1837		0.00																		
1	1	C14F3H23N2+	276.180785		C14H23N2F3	276.1656	276.1960		0.00																		
1	1	C18H32N2+	276.256000		C18H32N2	276.2408	276.2713		0.00																		
1	1	C19H34N+	276.268576		C19H34N	276.2534	276.2839		0.00																		
1	1	C12F5H10N2+	277.075866		C12H10N2F5	277.0605	277.0911		0.00																		
1	1	C12F5H12N2+	279.091516		C12H12N2F5	279.0762	279.1069		0.00																		
1	1	C14F3H22O2+	279.156641		C14H22F3O2	279.1412	279.1720		0.00																		
1	1	C11Cl2H20N3O+	280.097794		C11H20N3Cl2O	280.0824	280.1132		0.00																		
1	1	C6F11+	280.981886		C6F11	280.9664	280.9974		0.00																		
1	1	C7H21O4Si4+	281.051142		C7H21O4Si4	281.0354	281.0669		0.00										1								
1	1	C11F2H15O6+	281.083121		C11H15F2O6	281.0676	281.0986		0.00																		
1	1	C13F5H14O+	281.095932		C13H14F5O	281.0804	281.1114		0.00																		
1	1	C18H33O2+	281.247507		C18H33O2	281.2320	281.2630		0.00																		
1	1	C17H35N3+	281.282549		C17H35N3	281.2670	281.2980		0.00																		
1	1	C13F5H4N2+	283.028915		C13H4N2F5	283.0134	283.0445		0.00																		
1	1	C18H35O2+	283.263157		C18H35O2	283.2476	283.2788		0.00																		
1	1	C12Cl3FH16+	284.029613		C12H16FCl3	284.0140	284.0453		0.00																		
1	1	C17FH33N2+	284.262229		C17H33N2F	284.2466	284.2779		0.00																		
1	1	C6F7H4N2O3+	285.010466		C6H4N2F7O3	284.9948	285.0262		0.00																		
1	1	C8F8H7NO+	285.039441		C8H7NF8O	285.0237	285.0551		0.00																		
1	1	C18ClH34+	285.234355		C18H34Cl	285.2187	285.2501		0.00																		
1	1	C17FH34N2+	285.270054		C17H34N2F	285.2544	285.2858		0.00																		
1	1	C17F2H30N+	286.234083		C17H30NF2	286.2183	286.2498		0.00																		
1	1	C12Cl3H10N2+	286.990408		C12H10N2Cl3	286.9746	287.0062		0.00																		
1	1	C17FH32O2+	287.238085		C17H32FO2	287.2223	287.2539		0.00																		
1	1	C21H35+	287.273327		C21H35	287.2576	287.2892		0.00																		
1	1	C5F12+	287.980289		C5F12	287.9642	287.9964		0.00										1								
1	1	C12F5H10N2O+	293.070780		C12H10N2F5O	293.0547	293.0869		0.00																		
1	1	C21H13N2+	293.107325		C21H13N2	293.0913	293.1235		0.00																		
1	1	C18F2H23O+	293.171148		C18H23F2O	293.1550	293.1872		0.00																		
1	1	C18H35N3+	293.282549		C18H35N3	293.2664	293.2986		0.00																		
1	1	C12F5H11N2O+	294.078605		C12H11N2F5O	294.0624	294.0947		0.00																		
1	1	C14Cl2FH8NO+	294.996149		C14H8NFCl2O	294.9799	295.0123		0.00																		
1	1	C14Cl2F2H19+	295.082639		C14H19F2Cl2	295.0664	295.0988		0.00																		
1	1	C10F7H14N2+	295.103972		C10H14N2F7	295.0878	295.1202		0.00																		
1	1	C10Cl3H13N3O+	296.011871		C10H13N3Cl3O	295.9957	296.0281		0.00																		
1	1	C13ClF5H10+	296.038570		C13H10F5Cl	296.0223	296.0547		0.00																		
1	1	C15F4H12N2+	296.093112		C15H12N2F4	296.0769	296.1093		0.00																		
1	1	C14F4H22NO+	296.163203		C14H22NF4O	296.1470	296.1795		0.00																		
1	1	C14FH33N2O3+	296.246972		C14H33N2FO3	296.2307	296.2632		0.00																		
1	1	C13Cl3H8N2+	296.974758		C13H8N2Cl3	296.9585	296.9911		0.00																		
1	1	C15F4H11NO+	297.077128		C15H11NF4O	297.0609	297.0934		0.00																		
1	1	C17H35N3O+	297.277464		C17H35N3O	297.2611	297.2937		0.00																		
1	1	C9F6N2O3+	297.980762		C9N2F6O3	297.9644	297.9971		0.00																		
1	1	C10ClF5H16O2+	298.075350		C10H16F5ClO2	298.0590	298.0917		0.00																		
1	1	C16F4H14O+	298.097529		C16H14F4O	298.0812	298.1138		0.00																		
1	1	C17H32NO3+	298.237670		C17H32NO3	298.2213	298.2540		0.00																		
1	1	C11F6H9N2O+	299.061358		C11H9N2F6O	299.0447	299.0780		0.00																		
1	1	C13Cl3FH20+	300.060913		C13H20FCl3	300.0444	300.0773		0.00																		
1	1	C17H34NO3+	300.253320		C17H34NO3	300.2368	300.2697		0.00																		
1	1	C15Cl2FH16O+	301.055675		C15H16FCl2O	301.0392	301.0721		0.00																		
1	1	C17ClH16NO2+	301.086408		C17H16NClO2	301.0700	301.1028		0.00																		
1	1	C18F3H28+	301.213762		C18H28F3	301.1973	301.2303		0.00																		
1	1	C18FH34O2+	301.253735		C18H34FO2	301.2373	301.2703		0.00																		
1	1	C16ClFH12N2O+	302.061670		C16H12N2FClO	302.0451	302.0782		0.00																		
1	1	C17ClH33NO+	302.224519		C17H33NClO	302.2080	302.2411		0.00																		
1	1	C16F4H7N2+	303.053987		C16H7N2F4	303.0374	303.0706		0.00																		
1	1	C20H35N2+	303.279475		C20H35N2	303.2629	303.2961		0.00																		
1	1	C14Cl3H15O+	304.018300		C14H15Cl3O	304.0017	304.0350		0.00																		
1	1	C17ClF2H11O+	304.046100		C17H11F2ClO	304.0295	304.0627		0.00																		
1	1	C7F9H4NO2+	305.009283		C7H4NF9O2	304.9926	305.0260		0.00																		
1	1	C14F6H7O+	305.039560		C14H7F6O	305.0229	305.0562		0.00																		
1	1	C15Cl3H21+	306.070335		C15H21Cl3	306.0536	306.0870		0.00																		
1	1	C11F7H13N2+	306.096147		C11H13N2F7	306.0794	306.1128		0.00																		
1	1	C8F11H2+	306.997536		C8H2F11	306.9808	307.0142		0.00																		
1	1	C15ClF4H16+	307.087117		C15H16F4Cl	307.0705	307.1039		0.00																		
1	1	C22FH24+	307.185655		C22H24F	307.1689	307.2024		0.00																		
